	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
349	2022-01-05	1	D2	1	26	tube_tip	0.033336025	0.0002448808	0.79322195	0.0021674111	0.8208966	None	0.80705928	0.00120615
350	2022-01-05	1	D2	1	26	tube_tip	0.033311356	0.9966437	0.85145617	1.0	0.87855685	None	0.86500651	0.99832185
351	2022-01-05	1	D2	1	26	tube_tip	0.033021998	0.9965099	0.65176225	1.0	0.6798518	None	0.66580702	0.99825495
352	2022-01-05	1	D2	1	26	tube_tip	0.032942247	0.99674124	0.10937467	1.0	0.13625774	None	0.1228162	0.99837062
353	2022-01-05	1	D2	1	26	tube_tip	0.032459088	0.91704965	8.8776e-06	0.94606555	0.0029086096	None	0.00145874	0.9315576
354	2022-01-05	1	D2	1	26	tube_tip	0.03228901	0.0	0.8829019	0.0026354925	0.9109087	None	0.8969053	0.00131775
356	2022-01-05	1	D2	1	26	tube_tip	0.032043014	0.99664956	0.56954026	1.0	0.5979692	None	0.58375473	0.99832478
357	2022-01-05	1	D2	1	26	tube_tip	0.03179668	0.00028757012	0.7504939	0.0020086688	0.7776021	None	0.764048	0.00114812
358	2022-01-05	1	D2	1	26	tube_tip	0.031740386	0.99631214	0.15977868	1.0	0.18716055	None	0.17346962	0.99815607
363	2022-01-05	1	D2	1	26	tube_tip	0.030740337	0.0	0.3010826	0.002480531	0.32841784	None	0.31475022	0.00124027
364	2022-01-05	1	D2	1	26	tube_tip	0.030437917	0.9967403	0.7967241	1.0	0.8237734	None	0.81024875	0.99837015
367	2022-01-05	1	D2	1	26	tube_tip	0.030299459	0.53457975	0.15202975	0.56357324	0.17771459	None	0.16487217	0.5490765
370	2022-01-05	1	D2	1	26	tube_tip	0.02845497	0.99635786	0.25766492	1.0	0.28471184	None	0.27118838	0.99817893
372	2022-01-05	1	D2	1	26	tube_tip	0.027459461	0.9967404	0.47200945	1.0	0.5001061	None	0.48605778	0.9983702
384	2022-01-05	1	D2	2	26	tube_tip	0.49590787	0.7142229	0.97859365	0.73245287	0.9952392	None	0.98691642	0.72333788
385	2022-01-05	1	D2	2	26	tube_tip	0.431428	0.70014906	0.9639465	0.7191014	0.98286384	None	0.97340517	0.70962523
387	2022-01-05	1	D2	2	26	tube_tip	0.23462301	0.025999557	0.35823655	0.048902612	0.37929386	None	0.3687652	0.03745108
389	2022-01-05	1	D2	2	26	tube_tip	0.15444003	0.1113863	0.99504256	0.13324806	0.9996264	None	0.99733448	0.12231718
390	2022-01-05	1	D2	2	26	tube_tip	0.13422105	0.34584433	0.9947834	0.36884534	0.9997159	None	0.99724965	0.35734484
391	2022-01-05	1	D2	2	26	tube_tip	0.13231076	0.69682044	0.0	0.7206008	0.0037676708	None	0.00188384	0.70871062
392	2022-01-05	1	D2	2	26	tube_tip	0.123416506	0.16972901	0.9949913	0.19349636	0.99988365	None	0.99743748	0.18161268
393	2022-01-05	1	D2	2	26	tube_tip	0.110966094	0.0	0.0	0.005542933	0.0067161806	None	0.00335809	0.00277147
394	2022-01-05	1	D2	2	26	tube_tip	0.10503808	0.20804495	0.9958366	0.23319283	0.9994327	None	0.99763465	0.22061889
395	2022-01-05	1	D2	2	26	tube_tip	0.093307234	0.0	0.9923738	0.0053429133	1.0	None	0.9961869	0.00267146
396	2022-01-05	1	D2	2	26	tube_tip	0.093157075	0.7168231	0.95265883	0.74004185	0.9740204	None	0.96333962	0.72843248
397	2022-01-05	1	D2	2	26	tube_tip	0.09251801	0.99478924	0.37288806	1.0	0.3949875	None	0.38393778	0.99739462
399	2022-01-05	1	D2	2	26	tube_tip	0.09040106	0.032694075	0.3825232	0.055598196	0.40278485	None	0.39265402	0.04414614
400	2022-01-05	1	D2	2	26	tube_tip	0.089421324	0.12145397	0.0	0.14771056	0.0037958534	None	0.00189793	0.13458226
